ni     fo         prod
40      40       32.06
40     120       45.01
40     200       42.80
40     320       59.85
80      40       36.40
80      80       33.61
80     160       62.06
80     280       85.92
120      120       54.77
120      200       66.00
120      320       94.28
160       40       38.20
160       80       61.82
160      160       87.56
160      240       77.97
200      120       81.16
200      200       80.92
200      320      115.43
240       40       39.35
240      160       89.94
240      240       90.26
240      280      100.10
280       80       67.97
280      120       59.77
280      240      115.02
280      320      112.48
320       40       54.19
320      120      118.14
320      200      134.45
320      320      125.27
